Title	Description	Keywords	Dataset Type	Collection Period	Organism	Genes	Tissue/Cell Type	Condition	Technique	Instrument Platform	Software	Usage Restrictions	Related Datasets	Link	Filename	User	Post ID	Likes
Ras-dependent activation of BMAL2 regulates hypoxic metabolism in pancreatic cancer	To identify drivers of malignancy in human pancreatic ductal adenocarcinoma (PDAC), we performed regulatory network analysis on a large collection of expression profiles from laser capture microdissected samples of PDAC and benign precursors. We discovered that BMAL2 plays a role in the initiation, progression, post resection survival, and KRAS activity in PDAC. Functional analysis of BMAL2 target genes led us to hypothe-size that it plays a role in regulating the response to hypoxia, a critical but poorly understood feature of PDAC physiology. Knockout of BMAL2 in multiple human PDAC cell lines revealed effects on viability and invasion, particularly under hypoxic conditions. Loss of BMAL2 also affected glycolysis and other metabolic processes. We found that BMAL2 directly regulates hypoxia-responsive target genes. We also found that BMAL2 is necessary for the stabilization of HIF1A upon exposure to hypoxia, but destabilizes HIF2A under hypoxia. These data demonstrate that BMAL2 is a master transcriptional regulator of hypoxia responses in PDAC and may serve as a long-sought molecular switch that distinguishes HIF1A- and HIF2A-dependent modes of hypoxic metabolism.  Statement of significanceWe provide a comprehensive portrait of the molecular drivers behind pancreatic cancer initiation, progression and outcome. We discover a new genetic regulator of metabolic responses to low oxygen environments, a key feature of pancreatic cancer biology. This protein, BMAL2, is a new driver of pancreatic cancer malignancy.	cancer_biology genes glycolysis pancreatic adenocarcinoma bmal2 metabolism activation cancer		2024-06-22								cc_by_nc_nd		https://www.biorxiv.org/content/early/2024/06/22/2023.03.19.533333.source.xml		Kenneth P Olive	5	0
Therapeutic targeting of ACLY in T-ALL in vivo	T-cell Acute Lymphoblastic Leukemia (T-ALL) is a hematological malignancy in need of novel therapeutic approaches. Here, we identify the ATP-citrate lyase ACLY as overexpressed and as a novel therapeutic target in T-ALL. To test the effects of ACLY in leukemia progression, we developed an isogenic model of NOTCH1-induced Acly conditional knockout leukemia. Importantly, we observed intrinsic antileukemic effects upon loss of ACLY, which further synergized with NOTCH1 inhibition in vivo. Metabolomic profiling upon ACLY loss revealed a metabolic crisis with reduced acetyl-CoA levels, as well as a decreased oxygen consumption rate. Gene expression profiling analyses showed that the transcriptional signature of ACLY loss very significantly correlates with the signature of MYC loss in vivo. Mechanistically, the decrease in acetyl-CoA led to reduced H3K27ac levels in Myc, resulting in transcriptional downregulation of Myc and drastically reduced MYC protein levels. Interestingly, our analyses also revealed a reciprocal relationship whereby ACLY itself is a direct transcriptional target of MYC, thus establishing a feedforward loop that is important for leukemia progression. Overall, our results identified a relevant ACLY-MYC axis and unveiled ACLY as a novel promising target for T-ALL treatment.	cancer_biology h3k27ac malignancy hematological therapeutic acly leukemia targeting vivo lymphoblastic		2024-06-20								cc_no		https://www.biorxiv.org/content/early/2024/06/20/2023.03.27.534395.source.xml		Daniel Herranz	6	0
Novel diagnosis- and progression-related microRNA signatures in melanoma	Melanoma, an aggressive skin cancer with a high mortality rate, has suffered from a recent increase in incidence; therefore, the search for biomarkers such as micro (mi)RNAs to aid the early detection and management of cancer patients represents a current concern.  To identify these potential biomarkers, we developed a novel and integrative strategy: we conducted a systematic review of melanoma studies following PRISMA guidelines and subsequently performed exploratory analysis and data normalization. Then, we performed individual analyses of each study followed by a miRNA meta-analysis that integrated all results while considering patient information.  In the diagnostic scenario, we unveiled twenty-four differentially expressed miRNAs - eleven upregulated and thirteen downregulated, with ten not previously directly related to the diagnosis of primary melanoma. In the ulceration scenario, we found twenty-three differentially expressed miRNAs - seven upregulated and sixteen downregulated, with thirteen not previously directly related to the diagnosis of primary melanoma. An extensive functional characterisation of these mirna signatures was carried out, providing insight into their biological role and impact on melanoma diagnosis and prognosis.  Our findings contribute to a better understanding of the molecular mechanisms and developmental processes involved in melanoma, mainly in early-stage development and ulceration, which, in turn, offers a means to develop novel resources for precisely detecting and treating melanoma.	cancer_biology microrna melanoma biomarkers ulceration novel diagnosis cancer signatures extensive		2024-06-21								cc_by_nc		https://www.biorxiv.org/content/early/2024/06/21/2023.10.20.563284.source.xml		Francisco Garcia-Garcia	7	0
Disruption of P2Y2 signaling promotes breast tumor cell dissemination by reducing ATP-dependent calcium elevation and actin localization to cell junctions	The tumor microenvironment and wound healing after injury both contain extremely high concentrations of the extracellular signaling molecule, adenosine triphosphate (ATP) compared to normal tissue. P2Y2 receptor, an ATP-activated purinergic receptor, is typically associated with pulmonary, endothelial, and neurological cell signaling. Here we report its role and importance in breast epithelial cell signaling and how it is altered in metastatic breast cancer. In response to ATP activation, P2Y2 receptor signaling causes an increase of intracellular Ca2+ in non-tumorigenic breast epithelial cells, while their tumorigenic and metastatic counterparts have significantly reduced Ca2+ responses. The non-tumorigenic cells respond to increased Ca2+ with actin polymerization and localization to cell edges, while the metastatic cells remained unaffected. The increase in intracellular Ca2+ after ATP stimulation was blunted using a P2Y2 antagonist, which also prevented actin mobilization and caused cell dissemination from spheroids in non-tumorigenic breast epithelial cells. Furthermore, the lack of Ca2+ concentration changes and actin mobilization in the metastatic breast cancer cells could be due to reduced P2Y2 expression, which correlates with poorer overall survival in breast cancer patients. This study elucidates rapid changes that occur after elevated intracellular Ca2+ in breast epithelial cells and how metastatic cancer cells have adapted to evade this cellular response.	cancer_biology endothelial breast tumorigenic p2y2 calcium reducing cancer tumor atp		2024-06-13								cc_no		https://www.biorxiv.org/content/early/2024/06/13/2023.03.31.533191.source.xml		Makenzy L Mull	8	0
A novel Nav1.5-dependent feedback mechanism driving glycolytic acidification in breast cancer metastasis	Solid tumours have abnormally high intracellular [Na+]. The activity of various Na+ channels may underlie this Na+ accumulation. Voltage-gated Na+ channels (VGSCs) have been shown to be functionally active in cancer cell lines, where they promote invasion. However, the mechanisms involved, and clinical relevance, are incompletely understood. Here, we show that protein expression of the Nav1.5 VGSC subtype strongly correlates with increased metastasis and shortened cancer-specific survival in breast cancer patients. In addition, VGSCs are functionally active in patient-derived breast tumour cells, cell lines, and cancer-associated fibroblasts. Knock down of Nav1.5 in a mouse model of breast cancer suppresses expression of invasion-regulating genes. Nav1.5 activity increases glycolysis in breast cancer cells, likely by up-regulating activity of the Na+/K+ ATPase, thus promoting H+ production and extracellular acidification. The pH of murine xenograft tumours is lower at the periphery than in the core, in regions of higher proliferation and lower apoptosis. In turn, acidic extracellular pH elevates persistent Na+ influx through Nav1.5 into breast cancer cells. Together, these findings show positive feedback between extracellular acidification and movement of Na+ into cancer cells which can facilitate invasion. These results highlight the clinical significance of Nav1.5 activity as a potentiator of breast cancer metastasis and provide further evidence supporting the use of VGSC inhibitors in cancer treatment.	cancer_biology glycolysis breast tumour tumours metastasis acidification fibroblasts cancer glycolytic		2024-06-13								cc_by		https://www.biorxiv.org/content/early/2024/06/13/2023.06.16.545273.source.xml		William J Brackenbury	9	0
Deep Visual Proteomics Unveils Precision Medicine Insights in Composite Small Lymphocytic and Classical Hodgkin Lymphoma	Coexistence of two cancer types in the same organ presents challenges for clinical decision-making, calling for personalized treatment strategies. Deep Visual Proteomics (DVP) combines AI driven single cell type analysis with laser microdissection and ultrasensitive mass spectrometry. In a composite case of classical Hodgkin lymphoma (cHL) and small lymphocytic lymphoma (SLL) in a single patient, we investigated the potential of DVP to inform precision oncology. We quantified the proteomic landscapes in the cHL and SLL to a depth of thousands of proteins. Our analysis revealed distinct proteome profiles in cHL and SLL populations, highlighting their clonal unrelatedness. Our data suggested standardized chemotherapy and interleukin-4 inhibition as potential strategies to manage chemo-resistance - instead of bone marrow transplantation. DVP highlighted minichromosome maintenance protein and proteasome inhibitors for cHL and H3K27 methylation and receptor tyrosine kinase inhibitors for SLL as subtype-specific treatments. Thus cell-type specific insights of DVP can guide personalized oncological treatments.	cancer_biology lymphoma oncology transplantation medicine hodgkin proteomics lymphocytic chemotherapy cancer		2024-06-13								cc_by_nd		https://www.biorxiv.org/content/early/2024/06/13/2024.06.12.598635.source.xml		Matthias Mann	10	0
KDM2B is required for ribosome biogenesis and its depletion unequally affects mRNA translation	KDM2B is a JmjC domain lysine demethylase, which promotes cell immortalization, stem cell self-renewal and tumorigenesis. Here we employed a multi-omics strategy to address its role in ribosome biogenesis and mRNA translation. These processes are required to sustain cell proliferation, an important cancer hallmark. Contrary to earlier observations, KDM2B promotes ribosome biogenesis by stimulating the transcription of genes encoding ribosome biogenesis factors and ribosomal proteins, particularly those involved in the biogenesis of the 40S ribosomal subunits. Knockdown of KDM2B impaired the assembly of the small and large subunit processomes, as evidenced by specific defects in pre-ribosomal RNA processing. The final outcome was a decrease in the rate of ribosome assembly and in the abundance of ribosomes, and inhibition of mRNA translation. The inhibition of translation was distributed unequally among mRNAs with different features, suggesting that mRNA-embedded properties influence how mRNAs interpret ribosome abundance. This study identified a novel mechanism contributing to the regulation of translation and provided evidence for a rich biology elicited by a pathway that depends on KDM2B, and perhaps other regulators of translation.	cancer_biology biology tumorigenesis ribosomal biogenesis depletion mrna ribosome cancer kdm2b		2024-06-06								cc_by_nc_nd		https://www.biorxiv.org/content/early/2024/06/06/2024.05.22.595403.source.xml		Vollter Anastas	11	0
The Universal Breast cancer Subtyping 93 finds that claudin-low breast cancer may originate from basal breast cancer.	BackgroundBreast cancer is a complex disease with diverse molecular characteristics, significantly impacting patient prognosis, outcomes, and treatment decisions. Previous studies have introduced PAM50 classifiers and claudin-low classifiers based on bulk RNA-seq samples. However, single-cell analysis has revealed the existence of distinct subtypes within the same tumor, indicating that classifiers relying on gene signatures derived from bulk samples may not accurately capture the true molecular features of breast cancer.  MethodTo address this limitation, we utilized single-cell data from breast cancer patients to define the E-M ratio parameter. We identified 93 epithelial-specific genes and developed a Universal Breast cancer Subtyping 93 (UBS93). To validate the efficacy of UBS93, we conducted separate analyses using bulk RNA-seq and single-cell RNA-seq datasets of human breast cancer cell lines, as well as bulk RNA-seq data from mice. Additionally, we compared the performance of UBS93 with that of the genefu package to highlight its advantages.  ResultsUBS93 demonstrated excellent performance in human and mouse datasets, including bulk RNA-seq and single-cell RNA-seq data. It exhibited higher epithelial specificity and accuracy compared to PAM50 genes. When predicting bulk RNA-seq data from breast cancer cell lines and mouse models, UBS93 outperformed the genefu package. Single-cell validation revealed the coexistence of basal and claudin-low subtypes in the HDQP1 cell line and two TNBC patients, suggesting a shared origin. Differential gene expression analysis identified ELF3 loss as a potential driver for basal-to-claudin-low differentiation. Experimental validation confirmed that the downregulation of ELF3 resulted in the downregulation of CLDN3, CLDN4, and CLDN7, facilitating the transition from basal to claudin-low cells.  ConclusionOur study constructed a comprehensive breast cancer classification, UBS93, based on 93 epithelial-specific genes identified using single-cell data. By applying UBS93, we unveiled the coexistence of basal and claudin-low subtypes and illuminated the molecular mechanism underlying basal-to-claudin-low differentiation, with ELF3 loss playing a significant role in this process.  BackgroundBreast cancer is a heterogeneous disease in terms of molecular alterations, cellular composition, and clinical outcomes. However, this heterogeneity poses challenges regarding clinically relevant tumor classification for prognosis and prediction [36931265] [1]. Fortunately, researchers have utilized microarray technology to develop an intrinsic breast cancer classifier called PAM50, which categorizes cancer into five subtypes: Luminal A, Luminal B, HER2-enriched, Basal-like, and Normal-like [19204204] [2]. This classification system significantly enhances the prognostic and predictive value over traditional approaches, including pathological staging, histological grading, and standard clinical biomarkers.  Through in-depth investigation of gene expression profiles in breast cancer, researchers have discovered a novel subtype characterized by low expression levels of cell adhesion components such as CLDN3, CLDN4, CLDN7, and CDH1, which is associated with mesenchymal features. This new subtype exhibits increased proliferative capacity and poorer prognosis [17493263] [3]. In response, Alexi et al. developed a classification method called the nine-cell line claudin-low predictor, categorizing breast cancer into two groups: Claudin-low and Others [20813035] [4]. However, the origin of this new subtype has been a subject of ongoing debate. Some researchers suggest that the occurrence and progression of triple-negative breast cancer from luminal epithelium are driven by carcinogenic RAS signal transduction., although this conclusion has yet to be validated in human data [34145248] [5]. Another study, based on genetic, epigenetic, and gene expression analyses, found that claudin-low breast cancer originates from three subgroups, with two subgroups associated with luminal and basal-like subtypes, and the third subgroup closely related to normal human breast stem cells [32647202] [6]. In conclusion, the origin of claudin-low breast cancer is a complex process that requires further research to explore the underlying mechanisms and contributing factors.  Single-cell transcriptomic analysis has provided us with deeper insights into the heterogeneity among different subtypes of breast cancer [35352511] [7]. By analyzing the intrinsic subtypes within individual malignant cells, it has been discovered that there exist cells of different subtypes within a single tumor. This indicates that the tumor subtypes defined by gene signatures obtained through bulk RNA sequencing may not always accurately reflect the true molecular phenotype of the tumor [36931265][1]. To gain a more comprehensive understanding of tumor cells, single-cell analysis is necessary. Additionally, there is a lack of standardized prediction for breast cancer subtypes. To address these issues, we have developed a novel epithelial cell-specific prediction factor called Universal Breast Cancer Subtyping 93 (UBS93). UBS93 classifies breast cancer into four subtypes: Basal, Claudin-low, HER2-amp, and Luminal. UBS93 focuses on epithelial-specific markers and aims to provide a more consistent and comprehensive approach for breast cancer subtype classification. This advancement holds the potential to improve the accuracy of classification, facilitate personalized treatment strategies, and guide clinical decision-making.	cancer_biology genetic biomarkers breast 93 claudin carcinogenic subtyping cancer tumor		2024-06-06								cc_no		https://www.biorxiv.org/content/early/2024/06/06/2024.06.02.597060.source.xml		Jing Li	12	0
An organoid co-culture model for probing systemic anti-tumor immunity in lung cancer	"Deciphering the interactions between tumor micro- and systemic immune macro-environment is essential for developing more effective cancer diagnosis and treatment strategies. Here, we established a gel-liquid interface (GLI) co-culture of lung cancer organoids (LCOs) and paired peripheral blood mononuclear cells (PBMCs), featuring with enhanced interactions of immune cells and tumor organoids, to mimic the in vivo systemic anti-tumor immunity induced by immune checkpoint inhibitors (ICI). The co-culture model recapitulates the in vivo ICI-induced T cell recruitment and subsequent tumor regression, predicting the clinical results precisely. We demonstrated that circulating tumor-reactive T cells, which are effector memory-like with high expression levels of GNLY, CD44 and CD9, can serve as an indicator of the immunotherapy efficacy. Interestingly, enhanced inflammatory signaling in blood T cells is accompanied with prompted exhaustion and compromised anti-tumor function, when encountering with organoids. Our findings suggest that the GLI co-culture can be used for developing diagnostic strategies for precision immunotherapies as well as understanding the underlying mechanisms.  Summary figure  O_FIG O_LINKSMALLFIG WIDTH=178 HEIGHT=200 SRC=""FIGDIR/small/597327v1_ufig1.gif"" ALT=""Figure 1""> View larger version (48K): org.highwire.dtl.DTLVardef@a0829dorg.highwire.dtl.DTLVardef@1df3083org.highwire.dtl.DTLVardef@1ea1065org.highwire.dtl.DTLVardef@1da9464_HPS_FORMAT_FIGEXP  M_FIG C_FIG"	cancer_biology immunotherapies lung 1da9464_hps_format_figexp systemic organoid immunotherapy cancer tumor		2024-06-06								cc_no		https://www.biorxiv.org/content/early/2024/06/06/2024.06.04.597327.source.xml		Peng Liu	13	0
Comprehensive single cell transcriptomics analysis of murine osteosarcoma uncovers Skp2 function in metastasis, genomic instability and immune activation and reveals additional target pathways	Osteosarcoma (OS) is the most common primary pediatric bone malignancy. One promising new therapeutic target is SKP2, encoding a substrate recognition factor of the SCF E3 ubiquitin ligase responsible for ubiquitination and proteasome degradation of substrate p27, thus driving cellular proliferation. We have shown previously that knockout of Skp2 in an immunocompetent transgenic mouse model of OS improved survival, drove apoptosis, and induced tumor inflammation. Here, we applied single-cell RNA-sequencing (scRNA-seq) to study primary OS tumors derived from Osx-Cre driven conditional knockout of Rb1 and Trp53. We showed that murine OS models recapitulate the tumor heterogeneity and microenvironment complexity observed in patient tumors. We further compared this model with OS models with functional disruption of Skp2: one with Skp2 knockout and the other with the Skp2-p27 interaction disrupted (resulting in p27 overexpression). We found reduction of T cell exhaustion and upregulation of interferon activation, along with evidence of replicative and endoplasmic reticulum-related stress in the Skp2 disruption models, and showed that interferon induction was correlated with improved survival in OS patients. Additionally, our scRNA-seq analysis uncovered decreased activities of metastasis-related gene signatures in the Skp2-disrupted OS, which we validated by observation of a strong reduction in lung metastasis in the Skp2 knockout mice. Finally, we report several potential mechanisms of escape from targeting Skp2 in OS, including upregulation of Myc targets, DNA copy number amplification and overexpression of alternative E3 ligase genes, and potential alternative lineage activation. These mechanistic insights into OS tumor biology and Skp2 function suggest novel targets for new, synergistic therapies, while the data and our comprehensive analysis may serve as a public resource for further big data-driven OS research.	cancer_biology biology dna cell metastasis transcriptomics tumors osteosarcoma tumor genomic		2024-06-06								cc_by_nc_nd		https://www.biorxiv.org/content/early/2024/06/06/2024.06.04.597347.source.xml		Deyou Zheng	14	0
