Title	Description	Keywords	Dataset Type	Collection Period	Organism	Genes	Tissue/Cell Type	Condition	Technique	Instrument Platform	Software	Usage Restrictions	Related Datasets	Link	Filename	User	Post ID	Likes
1000 Genomes Project	A deep catalog of human genetic variation.	genome sequencing variation human	Sequencing	2008-2015	Homo sapiens	All human genes			Next-Generation Sequencing	Illumina HiSeq	VCFtools BCFtools	Public		http://www.internationalgenome.org/		User1	1	0
American Gut Project	 A large-scale project to analyze the human microbiome.	microbiome gut bacteria human health	Sequencing	Ongoing	Homo sapiens	Microbial genes	Gut microbiome	Various human health conditions	16S rRNA sequencing metagenomics	Illumina MiSeq	QIIME VSEARCH	Public		https://microsetta.ucsd.edu/american-gut-project/		User1	2	0
Jump Cell Painting	High-content imaging dataset to study cellular responses to various perturbations.	cell painting imaging phenotypes perturbations	Imaging	Ongoing	Human cell lines	Various	Human cell lines	Various perturbations	Cell Painting Assay	High-content imaging platforms	CellProfiler Cytominer	Public		https://jump-cellpainting.broadinstitute.org/		User1	3	0
Cancer Cell Line Encyclopedia (CCLE)	A comprehensive genetic and pharmacologic characterization of a large panel of human cancer cell lines.	cancer cell lines genomics drug sensitivity	Genomics Transcriptomics Proteomics Metabolomics	Ongoing	Homo sapiens	Various cancer-related genes	Various cancer cell lines	Cancer	RNA sequencing microRNA profiling protein arrays genome-wide histone modification DNA methylation whole genome sequencing whole exome sequencing	Various high-throughput sequencing and profiling platforms	DepMap PRISM	DepMap Genomics of Drug Sensitivity in Cancer		https://depmap.org/portal/		User1	4	0
Ras-dependent activation of BMAL2 regulates hypoxic metabolism in pancreatic cancer	To identify drivers of malignancy in human pancreatic ductal adenocarcinoma (PDAC), we performed regulatory network analysis on a large collection of expression profiles from laser capture microdissected samples of PDAC and benign precursors. We discovered that BMAL2 plays a role in the initiation, progression, post resection survival, and KRAS activity in PDAC. Functional analysis of BMAL2 target genes led us to hypothe-size that it plays a role in regulating the response to hypoxia, a critical but poorly understood feature of PDAC physiology. Knockout of BMAL2 in multiple human PDAC cell lines revealed effects on viability and invasion, particularly under hypoxic conditions. Loss of BMAL2 also affected glycolysis and other metabolic processes. We found that BMAL2 directly regulates hypoxia-responsive target genes. We also found that BMAL2 is necessary for the stabilization of HIF1A upon exposure to hypoxia, but destabilizes HIF2A under hypoxia. These data demonstrate that BMAL2 is a master transcriptional regulator of hypoxia responses in PDAC and may serve as a long-sought molecular switch that distinguishes HIF1A- and HIF2A-dependent modes of hypoxic metabolism.  Statement of significanceWe provide a comprehensive portrait of the molecular drivers behind pancreatic cancer initiation, progression and outcome. We discover a new genetic regulator of metabolic responses to low oxygen environments, a key feature of pancreatic cancer biology. This protein, BMAL2, is a new driver of pancreatic cancer malignancy.	cancer_biology genes glycolysis pancreatic adenocarcinoma bmal2 metabolism activation cancer		2024-06-22								cc_by_nc_nd		https://www.biorxiv.org/content/early/2024/06/22/2023.03.19.533333.source.xml		Kenneth P Olive	5	0
Therapeutic targeting of ACLY in T-ALL in vivo	T-cell Acute Lymphoblastic Leukemia (T-ALL) is a hematological malignancy in need of novel therapeutic approaches. Here, we identify the ATP-citrate lyase ACLY as overexpressed and as a novel therapeutic target in T-ALL. To test the effects of ACLY in leukemia progression, we developed an isogenic model of NOTCH1-induced Acly conditional knockout leukemia. Importantly, we observed intrinsic antileukemic effects upon loss of ACLY, which further synergized with NOTCH1 inhibition in vivo. Metabolomic profiling upon ACLY loss revealed a metabolic crisis with reduced acetyl-CoA levels, as well as a decreased oxygen consumption rate. Gene expression profiling analyses showed that the transcriptional signature of ACLY loss very significantly correlates with the signature of MYC loss in vivo. Mechanistically, the decrease in acetyl-CoA led to reduced H3K27ac levels in Myc, resulting in transcriptional downregulation of Myc and drastically reduced MYC protein levels. Interestingly, our analyses also revealed a reciprocal relationship whereby ACLY itself is a direct transcriptional target of MYC, thus establishing a feedforward loop that is important for leukemia progression. Overall, our results identified a relevant ACLY-MYC axis and unveiled ACLY as a novel promising target for T-ALL treatment.	cancer_biology h3k27ac malignancy hematological therapeutic acly leukemia targeting vivo lymphoblastic		2024-06-20								cc_no		https://www.biorxiv.org/content/early/2024/06/20/2023.03.27.534395.source.xml		Daniel Herranz	6	0
Novel diagnosis- and progression-related microRNA signatures in melanoma	Melanoma, an aggressive skin cancer with a high mortality rate, has suffered from a recent increase in incidence; therefore, the search for biomarkers such as micro (mi)RNAs to aid the early detection and management of cancer patients represents a current concern.  To identify these potential biomarkers, we developed a novel and integrative strategy: we conducted a systematic review of melanoma studies following PRISMA guidelines and subsequently performed exploratory analysis and data normalization. Then, we performed individual analyses of each study followed by a miRNA meta-analysis that integrated all results while considering patient information.  In the diagnostic scenario, we unveiled twenty-four differentially expressed miRNAs - eleven upregulated and thirteen downregulated, with ten not previously directly related to the diagnosis of primary melanoma. In the ulceration scenario, we found twenty-three differentially expressed miRNAs - seven upregulated and sixteen downregulated, with thirteen not previously directly related to the diagnosis of primary melanoma. An extensive functional characterisation of these mirna signatures was carried out, providing insight into their biological role and impact on melanoma diagnosis and prognosis.  Our findings contribute to a better understanding of the molecular mechanisms and developmental processes involved in melanoma, mainly in early-stage development and ulceration, which, in turn, offers a means to develop novel resources for precisely detecting and treating melanoma.	cancer_biology microrna melanoma biomarkers ulceration novel diagnosis cancer signatures extensive		2024-06-21								cc_by_nc		https://www.biorxiv.org/content/early/2024/06/21/2023.10.20.563284.source.xml		Francisco Garcia-Garcia	7	0
Disruption of P2Y2 signaling promotes breast tumor cell dissemination by reducing ATP-dependent calcium elevation and actin localization to cell junctions	The tumor microenvironment and wound healing after injury both contain extremely high concentrations of the extracellular signaling molecule, adenosine triphosphate (ATP) compared to normal tissue. P2Y2 receptor, an ATP-activated purinergic receptor, is typically associated with pulmonary, endothelial, and neurological cell signaling. Here we report its role and importance in breast epithelial cell signaling and how it is altered in metastatic breast cancer. In response to ATP activation, P2Y2 receptor signaling causes an increase of intracellular Ca2+ in non-tumorigenic breast epithelial cells, while their tumorigenic and metastatic counterparts have significantly reduced Ca2+ responses. The non-tumorigenic cells respond to increased Ca2+ with actin polymerization and localization to cell edges, while the metastatic cells remained unaffected. The increase in intracellular Ca2+ after ATP stimulation was blunted using a P2Y2 antagonist, which also prevented actin mobilization and caused cell dissemination from spheroids in non-tumorigenic breast epithelial cells. Furthermore, the lack of Ca2+ concentration changes and actin mobilization in the metastatic breast cancer cells could be due to reduced P2Y2 expression, which correlates with poorer overall survival in breast cancer patients. This study elucidates rapid changes that occur after elevated intracellular Ca2+ in breast epithelial cells and how metastatic cancer cells have adapted to evade this cellular response.	cancer_biology endothelial breast tumorigenic p2y2 calcium reducing cancer tumor atp		2024-06-13								cc_no		https://www.biorxiv.org/content/early/2024/06/13/2023.03.31.533191.source.xml		Makenzy L Mull	8	0
A novel Nav1.5-dependent feedback mechanism driving glycolytic acidification in breast cancer metastasis	Solid tumours have abnormally high intracellular [Na+]. The activity of various Na+ channels may underlie this Na+ accumulation. Voltage-gated Na+ channels (VGSCs) have been shown to be functionally active in cancer cell lines, where they promote invasion. However, the mechanisms involved, and clinical relevance, are incompletely understood. Here, we show that protein expression of the Nav1.5 VGSC subtype strongly correlates with increased metastasis and shortened cancer-specific survival in breast cancer patients. In addition, VGSCs are functionally active in patient-derived breast tumour cells, cell lines, and cancer-associated fibroblasts. Knock down of Nav1.5 in a mouse model of breast cancer suppresses expression of invasion-regulating genes. Nav1.5 activity increases glycolysis in breast cancer cells, likely by up-regulating activity of the Na+/K+ ATPase, thus promoting H+ production and extracellular acidification. The pH of murine xenograft tumours is lower at the periphery than in the core, in regions of higher proliferation and lower apoptosis. In turn, acidic extracellular pH elevates persistent Na+ influx through Nav1.5 into breast cancer cells. Together, these findings show positive feedback between extracellular acidification and movement of Na+ into cancer cells which can facilitate invasion. These results highlight the clinical significance of Nav1.5 activity as a potentiator of breast cancer metastasis and provide further evidence supporting the use of VGSC inhibitors in cancer treatment.	cancer_biology glycolysis breast tumour tumours metastasis acidification fibroblasts cancer glycolytic		2024-06-13								cc_by		https://www.biorxiv.org/content/early/2024/06/13/2023.06.16.545273.source.xml		William J Brackenbury	9	0
Deep Visual Proteomics Unveils Precision Medicine Insights in Composite Small Lymphocytic and Classical Hodgkin Lymphoma	Coexistence of two cancer types in the same organ presents challenges for clinical decision-making, calling for personalized treatment strategies. Deep Visual Proteomics (DVP) combines AI driven single cell type analysis with laser microdissection and ultrasensitive mass spectrometry. In a composite case of classical Hodgkin lymphoma (cHL) and small lymphocytic lymphoma (SLL) in a single patient, we investigated the potential of DVP to inform precision oncology. We quantified the proteomic landscapes in the cHL and SLL to a depth of thousands of proteins. Our analysis revealed distinct proteome profiles in cHL and SLL populations, highlighting their clonal unrelatedness. Our data suggested standardized chemotherapy and interleukin-4 inhibition as potential strategies to manage chemo-resistance - instead of bone marrow transplantation. DVP highlighted minichromosome maintenance protein and proteasome inhibitors for cHL and H3K27 methylation and receptor tyrosine kinase inhibitors for SLL as subtype-specific treatments. Thus cell-type specific insights of DVP can guide personalized oncological treatments.	cancer_biology lymphoma oncology transplantation medicine hodgkin proteomics lymphocytic chemotherapy cancer		2024-06-13								cc_by_nd		https://www.biorxiv.org/content/early/2024/06/13/2024.06.12.598635.source.xml		Matthias Mann	10	0
