subject_id,id_geno,STG,CH,B,hour,Drug,geno,PSD,RELPSD
118160,118160_A,NR,EEG1,ALPHA,1,10mpk,A,30.654336003704458,0.12535185455111003
118160,118160_A,NR,EEG1,ALPHA,1,30mpk,A,30.41435136627537,0.14433338978385205
118160,118160_A,NR,EEG1,ALPHA,1,3mpk,A,30.853435543976083,0.1309229493869307
118160,118160_A,NR,EEG1,ALPHA,1,Baseline,A,31.944588455691367,0.16428458564922266
118160,118160_A,NR,EEG1,ALPHA,1,Vehicle,A,30.575236738341236,0.1280738426894291
118160,118160_A,NR,EEG1,ALPHA,2,10mpk,A,31.70818901408469,0.14228204924085341
118160,118160_A,NR,EEG1,ALPHA,2,30mpk,A,31.111114820743012,0.1440637674323137
118160,118160_A,NR,EEG1,ALPHA,2,3mpk,A,31.36307747959798,0.1458206318950074
118160,118160_A,NR,EEG1,ALPHA,2,Baseline,A,32.01542541117541,0.16792995770739982
118160,118160_A,NR,EEG1,ALPHA,2,Vehicle,A,31.45351957758952,0.12181128728786175
118160,118160_A,NR,EEG1,ALPHA,3,10mpk,A,31.951084263169673,0.15764245334196092
118160,118160_A,NR,EEG1,ALPHA,3,30mpk,A,31.322518874057156,0.15348792470586534
118160,118160_A,NR,EEG1,ALPHA,3,3mpk,A,31.746211287931487,0.1574136869979376
118160,118160_A,NR,EEG1,ALPHA,3,Baseline,A,32.15522835524645,0.16956001531188147
118160,118160_A,NR,EEG1,ALPHA,3,Vehicle,A,31.59253344567561,0.13871195844262552
118160,118160_A,NR,EEG1,ALPHA,4,10mpk,A,32.115984916087484,0.166912542755155
118160,118160_A,NR,EEG1,ALPHA,4,30mpk,A,31.32415030745384,0.16069122644533324
118160,118160_A,NR,EEG1,ALPHA,4,3mpk,A,31.880599457863518,0.1623871003125755
118160,118160_A,NR,EEG1,ALPHA,4,Baseline,A,32.180209942993265,0.167348242681274
118160,118160_A,NR,EEG1,ALPHA,4,Vehicle,A,31.474255037382072,0.14739655827697584
118160,118160_A,NR,EEG1,ALPHA,5,10mpk,A,32.19021760076831,0.16707082378223984
118160,118160_A,NR,EEG1,ALPHA,5,30mpk,A,31.59591373236192,0.16652454165766506
118160,118160_A,NR,EEG1,ALPHA,5,3mpk,A,32.24852309239141,0.16235325184506072
118160,118160_A,NR,EEG1,ALPHA,5,Baseline,A,32.23060339574959,0.17012762132075018
118160,118160_A,NR,EEG1,ALPHA,5,Vehicle,A,31.626101309042895,0.15252033005166227
118160,118160_A,NR,EEG1,ALPHA,6,10mpk,A,32.37533398881338,0.16766636621209718
118160,118160_A,NR,EEG1,ALPHA,6,30mpk,A,31.90327610671203,0.1737584159803504
118160,118160_A,NR,EEG1,ALPHA,6,3mpk,A,32.656842875627376,0.16835999954646133
118160,118160_A,NR,EEG1,ALPHA,6,Baseline,A,32.363522950872294,0.16551008581557478
118160,118160_A,NR,EEG1,ALPHA,6,Vehicle,A,32.44068355894875,0.1646713819685805
118160,118160_A,NR,EEG1,BETA,1,10mpk,A,28.205369619287442,0.07132923558371548
118160,118160_A,NR,EEG1,BETA,1,30mpk,A,28.13217401603452,0.08464960375244704
118160,118160_A,NR,EEG1,BETA,1,3mpk,A,28.710186662907784,0.07922440615985402
118160,118160_A,NR,EEG1,BETA,1,Baseline,A,29.84915275210696,0.10098728411910143
118160,118160_A,NR,EEG1,BETA,1,Vehicle,A,28.584945157874998,0.0788303439816837
118160,118160_A,NR,EEG1,BETA,2,10mpk,A,29.494139060121096,0.084719768061545
118160,118160_A,NR,EEG1,BETA,2,30mpk,A,28.91178568387095,0.08592699885155929
118160,118160_A,NR,EEG1,BETA,2,3mpk,A,29.127583381937896,0.08616552524697728
118160,118160_A,NR,EEG1,BETA,2,Baseline,A,29.856024853910935,0.10155715174068174
118160,118160_A,NR,EEG1,BETA,2,Vehicle,A,29.111635837381996,0.07024406344634751
118160,118160_A,NR,EEG1,BETA,3,10mpk,A,29.509977380598105,0.08916525153592911
118160,118160_A,NR,EEG1,BETA,3,30mpk,A,29.053544807216195,0.09007324690854662
118160,118160_A,NR,EEG1,BETA,3,3mpk,A,29.47906836943337,0.09238885171186617
118160,118160_A,NR,EEG1,BETA,3,Baseline,A,29.992364027412613,0.10244618187252781
118160,118160_A,NR,EEG1,BETA,3,Vehicle,A,29.309463044280488,0.08104657990870191
118160,118160_A,NR,EEG1,BETA,4,10mpk,A,29.59071957068777,0.09250105746997934
118160,118160_A,NR,EEG1,BETA,4,30mpk,A,28.95821590403064,0.09267633942853175
118160,118160_A,NR,EEG1,BETA,4,3mpk,A,29.428923494686213,0.09154962861247805
118160,118160_A,NR,EEG1,BETA,4,Baseline,A,30.04437492041917,0.10187084415261088
118160,118160_A,NR,EEG1,BETA,4,Vehicle,A,29.054929241428727,0.08336989076815707
118160,118160_A,NR,EEG1,BETA,5,10mpk,A,29.76101812813636,0.09464534859768292
118160,118160_A,NR,EEG1,BETA,5,30mpk,A,29.20849940066811,0.09496950301887432
118160,118160_A,NR,EEG1,BETA,5,3mpk,A,30.027607359595706,0.09683178753411184
118160,118160_A,NR,EEG1,BETA,5,Baseline,A,30.121731602828355,0.1038964387348322
118160,118160_A,NR,EEG1,BETA,5,Vehicle,A,29.287598089496484,0.08851311198593632
118160,118160_A,NR,EEG1,BETA,6,10mpk,A,30.109845567066365,0.09924247205941822
118160,118160_A,NR,EEG1,BETA,6,30mpk,A,29.59138923028294,0.10119205593257138
118160,118160_A,NR,EEG1,BETA,6,3mpk,A,30.342003255057524,0.09785552646356216
118160,118160_A,NR,EEG1,BETA,6,Baseline,A,30.15825304490651,0.09850281041272267
118160,118160_A,NR,EEG1,BETA,6,Vehicle,A,30.111811179718632,0.09537922625985758
118160,118160_A,NR,EEG1,DELTA,1,10mpk,A,35.009787211981546,0.3430226321995963
118160,118160_A,NR,EEG1,DELTA,1,30mpk,A,33.65022520311203,0.30616880791727263
