Title,Description,Keywords,Dataset Type,Collection Period,Organism,Genes,Tissue/Cell Type,Condition,Technique,Instrument Platform,Software,Usage Restrictions,Related Datasets
Parallel ecological and evolutionary responses to selection in a natural bacterial community,"Evolution can occur over ecological timescales, suggesting a potentially important role for rapid evolution in shaping community trait distributions. However, evidence of concordant eco-evolutionary dynamics often comes from in vitro studies of highly simplified communities, and measures of ecological and evolutionary dynamics are rarely directly comparable. Here, we quantified how ecological species sorting and rapid evolution simultaneously shape community trait distributions by tracking within and between-species changes in a key trait in a complex bacterial community. We focused on the production of siderophores; bacteria use these costly secreted metabolites to scavenge poorly soluble iron and to detoxify environments polluted with toxic non-ferrous metals. We found that responses to copper-imposed selection within and between species were ultimately the same - intermediate siderophore levels were favored - and occurred over similar timescales. Despite being a social trait, this level of siderophore production was selected regardless of whether species evolved in isolation or in a community context. Our study suggests that evolutionary selection can play a pivotal role in shaping community trait distributions within natural, highly complex, bacterial communities. Furthermore, trait evolution may not always be qualitatively affected by interactions with other community members.

SignificanceBacterial communities possess remarkable taxonomic and metabolic diversity and play a key role in nearly every biogeochemical process on Earth. Rapid evolution (occurring over ecological time scales) can in principle shape these processes, yet we have little understanding of its importance in natural communities. Here, we quantified how the production of metal-detoxifying siderophores is driven by species compositional changes and evolution in a compost community in response to copper stress. We found that siderophore production converged at intermediate levels, with evolutionary and ecological changes occurring at similar rates. Understanding how ecological and evolutionary processes contribute to shaping trait distributions will improve our ability to predict ecosystem responses to global change, and aid in the engineering of microbial consortia.","['bacterial', 'ecological', 'evolutionary', 'selection', 'natural', 'biogeochemical', 'significancebacterial', 'bacteria', 'bacterial', 'evolutionary', 'evolutionary biology']",,2024-06-20,,,,,,,,cc_by_nc_nd,
Co-infection with Toxoplasma gondii leads to a loss of resistance in Heligmosomoides bakeri trickle-infected mice due to ineffective granulomas,"The intestinal roundworm Heligmosomoides bakeri causes chronic infection in susceptible (C57Bl/6) mice; however, repeat (trickle) infection confers immunity and facilitates worm clearance. We previously showed that this acquired immunity is associated with a strong Th2 response, notably the enhanced production of intestinal granulomas. Here we demonstrate that elevated proportions of IgG1-bound eosinophils and macrophages are observed around the developing tissue worms of trickle-infected female C57Bl/6 mice compared to bolus infected animals. Levels of IgG2c, IgA or IgE were not detected in the granulomas. Increased proportions of SiglecF+ and CD206+ cells, but not Ly6G+ and/or NK1.1+ cells, were also found in the granulomas of trickle-infected mice. However, in the natural world rather than the laboratory setting, immune environments are more nuanced. We examined the impact of a mixed immune environment on trickle infection-induced immunity, using a pre-infection with Toxoplasma gondii. The mixed immune environment resulted in fewer and smaller granulomas with a lack of IgG1-bound cells as well as reduced proportions of SiglecF+ and CD206+ cells, measured by immunofluorescence and flow cytometry. This was associated with a higher worm burden in the co-infected animals. Our data confirm the importance of intestinal granulomas and parasite-specific antibody for parasite clearance. They highlight why it may be more difficult to clear worms in the field than in the laboratory.","['mice', 'toxoplasma', 'infection', 'infected', 'ineffective', 'immunofluorescence', 'intestinal', 'mice', 'roundworm', 'worms', 'immunology']",,2024-06-27,,,,,,,,cc_by,
The molecular infrastructure of glutamatergic synapses in the mammalian forebrain,"Glutamatergic synapses form the vast majority of connections within neuronal circuits, but how these subcellular structures are molecularly organized within the mammalian brain is poorly understood. Conventional electron microscopy using chemically fixed, metal-stained tissue has identified a proteinaceous, membrane-associated thickening called the  postsynaptic density (PSD). Here, we combined mouse genetics and cryo-electron tomography to determine the 3D molecular architecture of fresh isolated and anatomically intact synapses in the adult forebrain. The native glutamatergic synapse did not consistently show a high density of proteins at the postsynaptic membrane thought to be characteristic of the PSD. Instead, a  synaptoplasm consisting of cytoskeletal elements, macromolecular complexes and membrane-bound organelles extended throughout the pre- and post-synaptic compartments. Snapshots of active processes gave insights into membrane remodeling processes. Clusters of 4-60 ionotropic glutamate receptors were positioned inside and outside the synaptic cleft. Together, these information-rich tomographic maps present a detailed molecular framework for the coordinated activity of synapses in the adult mammalian brain.","['mammalian', 'glutamatergic', 'molecular', 'forebrain', 'synapses', 'mouse', 'mammalian', 'proteinaceous', 'genetics', 'molecular', 'neuroscience']",,2024-06-25,,,,,,,,cc_by,
Selective attention and decision-making have separable neural bases in space and time,"Attention and decision-making processes are fundamental to cognition. However, they are usually experimentally confounded, making it difficult to link neural observations to specific processes. Here we separated the effects of selective attention from the effects of decision-making on human brain activity, using a two-stage task where the attended stimulus and decision were orthogonal and separated in time. Multivariate pattern analyses of multimodal neuroimaging data revealed the dynamics of perceptual and decision-related information coding through time (magnetoencephalography (MEG)), space (functional Magnetic Resonance Imaging (fMRI)), and their combination (MEG-fMRI fusion). Our MEG results showed an effect of attention before decision-making could begin, and fMRI results showed an attention effect in early visual and frontoparietal regions. Model-based MEG-fMRI fusion suggested that attention boosted stimulus information in frontoparietal and early visual regions before decision-making was possible. Together, our results suggest that attention affects neural stimulus representations in frontoparietal regions independent of decision-making.","['neural', 'space', 'separable', 'attention', 'selective', 'neuroimaging', 'magnetoencephalography', 'neural', 'brain', 'fmri', 'neuroscience']",,2024-06-21,,,,,,,,cc_no,
Beyond Prior and Volatility: The Distinct Iterative Prior Account in ASD,"The nature of predictive-processing differences between individuals with autism spectrum disorder (ASD) and typically developing (TD) individuals is widely debated. Some studies suggest impairments in predictive processing in ASD, while others report intact processes, albeit with atypical learning dynamics. Here, we assessed duration reproduction tasks in high- and low-volatility settings to examine the updating dynamics of prior beliefs and sensory estimates. Employing a two-state Bayesian model, we differentiated how individuals with ASD and TD controls update their priors and perceptual estimates, and how these updates affect long-term prediction and behavior. Our findings indicate that individuals with ASD use prior knowledge and sensory input similarly to TD controls in perceptual estimates. However, they place a greater weight on sensory inputs specifically for iteratively updating their priors. This distinct approach to prior updating led to slower adaptation across trials; individuals with ASD relied less on their priors in perceptual estimates during the first half of sessions but achieved comparable integration weights as TD controls by the end of the session. By differentiating these aspects, our study highlights the importance of considering inter-trial updating dynamics to reconcile diverse findings of predictive processing in ASD. In consequence to the current findings, we suggest the distinct iterative updating account of predictive processing in ASD.","['iterative', 'volatility', 'asd', 'distinct', 'account', 'autism', 'iterative', 'disorder', 'updating', 'differentiating', 'neuroscience']",,2024-06-27,,,,,,,,cc_by_nd,
Prophages divert Staphylococcus aureus defenses against host lipids,"Phages are ubiquitous in bacteria, including clinical Staphylococcus aureus, where Sfi 21/Sa3 phages often integrate into the hlb gene, encoding Hlb sphingomyelinase. The integration acts as a rapid regulatory switch of Hlb production. Our findings suggest that Sfi 21/Sa3 prophages and Hlb activity affect S. aureus fitness by modulating the incorporation of the toxic linoleic acid (C18:2) from serum into the bacterial membrane. This process relies on C18:2 derived from 1,3-diglyceride, facilitated by the FakB1 kinase subunit. Palmitic acid (C16), primarily released from serum through Hlb activity, competes for FakB1. This mechanism contributes to adaptation to AFN-1252, an antibiotic inhibiting the fatty acid synthesis pathway (anti-FASII). Since S. aureus relies on exogenous fatty acids for growth, AFN-1252 treatment leads to increased proportion of membrane C18:2. Moreover, Hlb inhibition, whether via prophage insertion, gene inactivation, or enzyme inhibition, delays S. aureus adaptation, resulting in higher proportionof C18:2 in the membrane. This study sheds light on the role of lipid environments in infections, and may contribute to the accurate prediction of infection risks and therapeutic efficacy. Furthermore, given that both anti-FASII and Hlb inhibitors enhance C18:2 incorporation, they represent potential agents for combined strategies against S. aureus.","['staphylococcus', 'lipids', 'aureus', 'prophages', 'defenses', 'staphylococcus', 'sphingomyelinase', 'bacterial', 'bacteria', 'antibiotic', 'microbiology']",,2024-06-21,,,,,,,,cc_by_nc_nd,
Cyclin CLB2 mRNA localization and protein synthesis link cell cycle progression to bud growth,"Clb2 is a conserved mitotic B-type cyclin, the levels of which are finely controlled to drive progression through the cell cycle. While it is known that CLB2 transcription and Clb2 protein degradation are important for precise control of its expression, it remains unclear whether the synthesis of Clb2 is also regulated. To address whether and how Clb2 expression levels respond to cell growth changes and adapt cell cycle progression, we combined single-cell and single-molecule imaging methods to measure CLB2 mRNA and protein expression throughout the Saccharomyces cerevisiae cell cycle. We found that the CLB2 mRNA was efficiently localized to the yeast bud as soon as this compartment was formed, but strikingly the Clb2 protein accumulated in the mother nucleus. The CLB2 mRNA localization in the yeast bud by the She2-3 complex did not control protein localization but rather promoted CLB2 translation. Moreover, CLB2 mRNA bud localization and protein synthesis were coupled and dependent on a single secondary structure -a ZIP code-located in the coding sequence. In a CLB2 ZIP code mutant, mRNA localization was impaired and Clb2 protein synthesis decreased, resulting in changes in cell cycle distribution and increased size of daughter cells at birth. Finally, while in WT cells the Clb2 protein concentration followed bud growth, this relationship was impaired in the ZIP code mutant. We propose that S. cerevisiae couples the control of CLB2 mRNA bud localization and protein synthesis to coordinate cell growth and cell cycle progression. This mechanism extends our knowledge of CLB2 expression regulation, and constitutes a novel function for mRNA localization.","['mrna', 'synthesis', 'protein', 'clb2', 'cell', 'mitotic', 'mrna', 'protein', 'transcription', 'synthesis', 'molecular biology']",,2024-06-23,,,,,,,,cc_by_nc_nd,
Reproducibility of in-vivo electrophysiological measurements in mice,"Understanding brain function relies on the collective work of many labs generating reproducible results. However, reproducibility has not been systematically assessed within the context of electrophysiological recordings during cognitive behaviors. To address this, we formed a multi-lab collaboration using a shared, open-source behavioral task and experimental apparatus. Experimenters in ten laboratories repeatedly targeted Neuropixels probes to the same location (spanning secondary visual areas, hippocampus, and thalamus) in mice making decisions; this generated a total of 121 experimental replicates, a unique dataset for evaluating reproducibility of electrophysiology experiments. Despite standardizing both behavioral and electrophysiological procedures, some experimental outcomes were highly variable. A closer analysis uncovered that variability in electrode targeting hindered reproducibility, as did the limited statistical power of some routinely used electrophysiological analyses, such as single-neuron tests of modulation by task parameters. Reproducibility was enhanced by histological and electrophysiological quality-control criteria. Our observations suggest that data from systems neuroscience is vulnerable to a lack of reproducibility, but that across-lab standardization, including metrics we propose, can serve to mitigate this.","['mice', 'electrophysiological', 'vivo', 'measurements', 'reproducibility', 'neuroscience', 'neuropixels', 'mice', 'labs', 'lab', 'neuroscience']",,2024-06-20,,,,,,,,cc_no,
Noisy circumnutations facilitate self-organized shade avoidance in sunflowers,"Circumnutations are widespread in plants and typically associated with exploratory movements, however a quantitative understanding of their role remains elusive. In this study we report, for the first time, the role of noisy circumnutations in facilitating an optimal growth pattern within a crowded group of mutually shading plants. We revisit the problem of self-organization observed for sunflowers, mediated by shade response interactions. Our analysis reveals that circumnutation movements conform to a bounded random walk characterized by a remarkably broad distribution of velocities, covering three orders of magnitude. In motile animal systems such wide distributions of movement velocities are frequently identified with enhancement of behavioral processes, suggesting that circumnutations may serve as a source of functional noise. To test our hypothesis, we developed a Langevin-type parsimonious model of interacting growing disks, informed by experiments, successfully capturing the characteristic dynamics of individual and multiple interacting plants. Employing our simulation framework we examine the role of circumnutations in the system, and find that the observed breadth of the velocity distribution represents a sharp transition in the force-noise ratio, conferring advantageous effects by facilitating exploration of potential configurations, leading to an optimized arrangement with minimal shading. These findings represent the first report of functional noise in plant movements, and establishes a theoretical foundation for investigating how plants navigate their environment by employing computational processes such as task-oriented processes, optimization, and active sensing. Since plants move by growing, space and time are coupled, and dynamics of self-organization lead to emergent 3D patterns. As such this system provides conceptual insight for other interacting growth-driven systems such fungal hyphae, neurons and self-growing robots, as well as active matter systems where agents interact with past trajectories of their counterparts, such as stigmergy in social insects. This foundational insight has implications in statistical physics, ecological dynamics, agriculture, and even swarm robotics.

One sentence summary of paperThe study highlights noisy circumnutations as a strategy plants use for optimizing growth in crowded conditions.","['sunflowers', 'shade', 'circumnutations', 'noisy', 'avoidance', 'sunflowers', 'fungal', 'agriculture', 'noisy', 'shading', 'plant biology']",,2024-06-24,,,,,,,,cc_no,
Ancient midbrain inhibitory neurons control selective spatial attention,"To behave adaptively in complex environments, animals must selectively process the most important information in space while ignoring distractors. Contrary to the dominant cortico-centric view, we report that an evolutionarily old group of inhibitory neurons in the brainstem, called PLTi, is critical for this function of selective spatial attention. In freely behaving mice performing a human-like spatial attention task, we found that bilateral silencing of PLTi severely disrupted target selection without causing perceptual or motor impairments. PLTis effects depended necessarily on goal-relevant, rather than just physical salience-based signals, together revealing it as a dedicated brain site for priority-driven attentional target selection. PLTis core computational function is its explicit implementation of the abstract cognitive decision boundary separating target from distracters: it controlled the accuracy and categorical precision of this decision boundary, doing so by shaping neural representations of competing stimuli in the superior colliculus, a major sensorimotor hub. PLTi may, therefore, be a conserved brainstem engine across vertebrates for winner-take-all-like spatial decisions in goal-driven behavior.","['neurons', 'ancient', 'midbrain', 'inhibitory', 'selective', 'brainstem', 'mice', 'cognitive', 'inhibitory', 'neural', 'neuroscience']",,2024-06-20,,,,,,,,cc_by_nc_nd,
